x, y
0.09523809523809523, 0.05555555555555555
2.2857142857142856, 0.09259259259259259
4.476190476190476, 0.12962962962962962
6, 0.12962962962962962
7.809523809523809, -0.037037037037037035
9.238095238095237, -0.2777777777777778
10.19047619047619, -0.4444444444444444
10.857142857142856, -0.611111111111111
11.619047619047619, -0.7777777777777777
12.38095238095238, -0.9074074074074073
13.238095238095237, -1.0185185185185184
14.38095238095238, -1.0555555555555556
15.428571428571427, -1.0185185185185184
16.57142857142857, -0.8888888888888888
17.428571428571427, -0.7407407407407407
18.38095238095238, -0.5925925925925926
19.619047619047617, -0.4444444444444444
20.857142857142858, -0.2962962962962963
22.38095238095238, -0.1111111111111111
23.619047619047617, -0.05555555555555555
3.6190476190476186, 0.1111111111111111
1.3333333333333333, 0.05555555555555555
7.0476190476190474, 0.07407407407407407
8.571428571428571, -0.14814814814814814
21.523809523809522, -0.2037037037037037
5.142857142857142, 0.12962962962962962
