x, y
-0.1, 1.7886178861788617
0.7000000000000001, 1.7886178861788617
1.6, 1.6260162601626016
2.6, 1.7073170731707317
3.7, 1.5447154471544715
4.800000000000001, 1.7073170731707317
5.800000000000001, 1.5447154471544715
6.5, 1.3008130081300813
7.2, 1.1382113821138211
8.3, 0.7317073170731707
9.1, 0.16260162601626016
9.9, -0.3252032520325203
10.5, -0.7317073170731707
11.8, -1.056910569105691
12.600000000000001, -1.2195121951219512
13.700000000000001, -1.3008130081300813
14.8, -1.1382113821138211
15.600000000000001, -1.056910569105691
16.5, -0.7317073170731707
17.6, -0.08130081300813008
18.400000000000002, 0.4878048780487805
19, 1.056910569105691
20, 1.3008130081300813
21, 1.7073170731707317
21.900000000000002, 1.7073170731707317
23.1, 1.7073170731707317
