x, y
0, -0.14814814814814814
0.9523809523809523, 0
1.5238095238095237, 0.07407407407407407
2.095238095238095, 0.18518518518518517
2.761904761904762, 0.2962962962962963
3.6190476190476186, 0.38888888888888884
4.571428571428571, 0.4444444444444444
5.333333333333333, 0.4444444444444444
5.904761904761904, 0.35185185185185186
6.476190476190476, 0.2037037037037037
6.857142857142857, 0.05555555555555555
7.142857142857142, -0.07407407407407407
7.428571428571428, -0.25925925925925924
7.619047619047619, -0.4074074074074074
7.904761904761904, -0.5555555555555556
8, -0.7037037037037037
8.19047619047619, -0.8518518518518519
8.476190476190476, -0.9814814814814814
8.571428571428571, -1.1296296296296295
8.761904761904761, -1.2777777777777777
8.857142857142856, -1.4074074074074074
9.047619047619047, -1.574074074074074
9.238095238095237, -1.722222222222222
9.333333333333332, -1.9074074074074072
9.523809523809524, -2.0555555555555554
9.714285714285714, -2.2407407407407405
9.904761904761905, -2.388888888888889
10.095238095238095, -2.5370370370370368
10.285714285714285, -2.722222222222222
10.476190476190476, -2.8703703703703702
10.666666666666666, -3.0555555555555554
10.857142857142856, -3.2037037037037037
10.952380952380953, -3.3703703703703702
11.142857142857142, -3.5370370370370368
11.428571428571427, -3.7037037037037033
11.619047619047619, -3.8518518518518516
11.904761904761903, -4.018518518518518
12.19047619047619, -4.203703703703703
12.476190476190476, -4.37037037037037
12.857142857142856, -4.518518518518518
13.142857142857142, -4.685185185185185
13.523809523809524, -4.814814814814815
14, -4.944444444444444
14.761904761904761, -5
15.714285714285714, -4.907407407407407
16.285714285714285, -4.722222222222222
16.857142857142858, -4.537037037037037
17.142857142857142, -4.351851851851851
17.428571428571427, -4.185185185185185
18, -3.944444444444444
18.095238095238095, -3.759259259259259
18.476190476190474, -3.5925925925925926
18.666666666666664, -3.4074074074074074
19.142857142857142, -3.185185185185185
19.142857142857142, -2.9814814814814814
19.333333333333332, -2.814814814814815
19.619047619047617, -2.6296296296296293
19.904761904761905, -2.444444444444444
20.095238095238095, -2.2407407407407405
20.38095238095238, -2.074074074074074
20.666666666666664, -1.9074074074074072
20.857142857142858, -1.722222222222222
21.047619047619047, -1.574074074074074
21.428571428571427, -1.3888888888888888
21.809523809523807, -1.1851851851851851
22.19047619047619, -1.0185185185185184
22.476190476190474, -0.8518518518518519
23.047619047619047, -0.6851851851851851
23.523809523809522, -0.5555555555555556
23.904761904761905, -0.4444444444444444
